dteday,yr,mnth,weekday,season,is_holiday,is_weekend,workingday,weather_code,t1,t2,hum,wind_speed,cnt,n_hours_observed
2016-01-01,2016,1,5,3.0,1.0,0.0,0,7.0,6.5,3.73,82.5,16.73,9797,24
2016-01-02,2016,1,6,3.0,0.0,1.0,0,7.0,10.5,9.4,87.02,21.6,7195,24
2016-01-03,2016,1,0,3.0,0.0,1.0,0,7.0,8.65,6.35,83.5,16.19,4869,24
2016-01-04,2016,1,1,3.0,0.0,0.0,1,2.0,8.88,7.04,82.56,12.5,20533,24
2016-01-05,2016,1,2,3.0,0.0,0.0,1,7.0,8.98,7.9,85.67,8.44,22805,24
2016-01-06,2016,1,3,3.0,0.0,0.0,1,3.0,7.04,5.96,90.29,6.54,23038,24
2016-01-07,2016,1,4,3.0,0.0,0.0,1,7.0,7.96,4.6,76.06,24.23,18083,24
2016-01-08,2016,1,5,3.0,0.0,0.0,1,7.0,7.35,5.08,77.94,12.65,20762,24
2016-01-09,2016,1,6,3.0,0.0,1.0,0,7.0,9.67,8.15,81.31,18.04,11583,24
2016-01-10,2016,1,0,3.0,0.0,1.0,0,1.0,7.25,4.17,75.38,18.92,14320,24
2016-01-11,2016,1,1,3.0,0.0,0.0,1,3.0,7.04,4.23,82.6,16.52,21092,24
2016-01-12,2016,1,2,3.0,0.0,0.0,1,7.0,6.19,1.83,77.96,27.81,22799,24
2016-01-13,2016,1,3,3.0,0.0,0.0,1,1.0,5.83,2.48,71.48,18.1,24586,24
2016-01-14,2016,1,4,3.0,0.0,0.0,1,7.0,4.48,-0.21,73.02,25.94,22186,24
2016-01-15,2016,1,5,3.0,0.0,0.0,1,2.0,4.0,-0.29,70.02,21.44,22446,24
2016-01-16,2016,1,6,3.0,0.0,1.0,0,1.0,3.1,0.56,75.62,9.56,16091,24
2016-01-17,2016,1,0,3.0,0.0,1.0,0,26.0,2.96,0.75,80.31,9.06,11762,24
2016-01-18,2016,1,1,3.0,0.0,0.0,1,2.0,2.94,0.12,75.38,11.44,22762,24
2016-01-19,2016,1,2,3.0,0.0,0.0,1,1.0,1.31,0.96,68.52,2.77,23819,24
2016-01-20,2016,1,3,3.0,0.0,0.0,1,1.0,1.56,0.35,77.42,5.42,23800,24
2016-01-21,2016,1,4,3.0,0.0,0.0,1,1.0,3.69,1.19,76.58,10.46,23378,24
2016-01-22,2016,1,5,3.0,0.0,0.0,1,7.0,8.06,5.6,79.9,15.35,18328,24
2016-01-23,2016,1,6,3.0,0.0,1.0,0,7.0,8.67,6.73,83.69,13.69,17218,24
2016-01-24,2016,1,0,3.0,0.0,1.0,0,3.0,12.44,12.1,88.12,14.98,16360,24
2016-01-25,2016,1,1,3.0,0.0,0.0,1,3.0,12.19,11.85,72.38,19.79,25724,24
2016-01-26,2016,1,2,3.0,0.0,0.0,1,7.0,10.19,8.98,80.33,27.21,20224,24
2016-01-27,2016,1,3,3.0,0.0,0.0,1,7.0,12.08,11.56,80.1,30.54,21708,24
