dteday,top_var,top_z,weather_code,cnt
2016-01-17,cnt,1.8172332361601256,26.0,11762
2015-02-03,t2,2.057685355987537,26.0,19869
2016-11-20,cnt,1.9513618979622402,26.0,10613
2016-12-28,hum,2.6320058133013937,1.0,12428
2015-03-31,wind_speed,4.163382401411207,7.0,22602
2015-07-09,cnt,5.273491894548359,2.0,72504
2015-01-04,hum,2.320007420166427,4.0,9234
2016-02-08,wind_speed,4.0815284597264645,7.0,19497
2016-12-30,hum,2.785896912617964,4.0,11566
2015-07-01,t2,2.587459483602959,1.0,42641
2016-12-29,hum,1.8678205598458184,1.0,14052
2015-12-05,wind_speed,3.349657922309936,4.0,16511
2015-02-01,t2,2.0348510765794376,3.0,11305
2015-11-21,t2,1.950038038777926,1.0,12751
2015-07-08,cnt,1.6779332242551181,7.0,41703
2016-03-28,wind_speed,2.9949575083427153,7.0,10216
2016-08-14,hum,1.9309706862974827,4.0,43848
2015-08-31,cnt,2.06506191240546,7.0,9639
2015-11-01,hum,2.6804920500723672,4.0,22848
2016-07-20,t2,2.1960146937498273,2.0,44664
2016-02-13,cnt,2.038212833019484,7.0,9869
2015-01-10,wind_speed,2.945203151632382,3.0,14709
2015-11-29,wind_speed,2.908288628911811,7.0,11392
2015-11-15,wind_speed,2.9050786704143707,4.0,17594
2016-12-17,hum,2.4960335406175735,4.0,17238
2016-10-30,hum,2.309466933911868,4.0,23535
2016-08-24,t2,2.280827731551339,1.0,40664
2015-04-03,cnt,1.871398335443138,7.0,11298
2015-08-06,cnt,4.2186732800627995,1.0,63468
2016-12-27,cnt,1.9246295537040294,1.0,10842
2015-01-31,t2,2.0381131164948805,7.0,10250
2016-12-05,hum,1.9226310883695281,1.0,26231
2016-08-07,t2,1.6430989280822785,4.0,38076
2016-12-25,wind_speed,1.8794969304819997,4.0,36653
2015-01-18,cnt,1.6494848575616585,7.0,13199
2016-09-20,wind_speed,1.531083973048968,7.0,37292
2016-07-22,t2,1.5566548703230456,7.0,35996
