instant,dteday,season,weathersit,temp,atemp,hum,windspeed,cnt,anomaly_score,temp_pct,atemp_pct,hum_pct,windspeed_pct,weathersit_pct,cnt_pct
69,2011-03-10,1,3,0.389091,0.385668,0.0,0.261877,623,-0.10505375446857945,33.78932968536252,33.2421340629275,0.0,83.31053351573188,97.12722298221614,0.6839945280437756
302,2011-10-29,4,3,0.254167,0.227913,0.8825,0.351371,627,-0.0815771354906496,9.028727770177838,5.60875512995896,96.0328317373461,96.44322845417237,97.12722298221614,0.8207934336525308
26,2011-01-26,1,3,0.2175,0.2036,0.8625,0.29385,506,-0.08123651001733279,5.471956224350205,3.9671682626538987,94.25444596443229,89.19288645690835,97.12722298221614,0.4103967168262654
668,2012-10-29,4,3,0.44,0.4394,0.88,0.3582,22,-0.07977935737401354,41.99726402188782,42.95485636114911,95.62243502051983,96.99042407660738,97.12722298221614,0.0
726,2012-12-26,1,3,0.243333,0.220333,0.823333,0.316546,441,-0.07847144315437471,7.934336525307797,4.924760601915184,90.42407660738714,92.61285909712723,97.12722298221614,0.27359781121751026
50,2011-02-19,1,1,0.399167,0.391404,0.187917,0.507463,1635,-0.07151566792782693,35.294117647058826,34.74692202462381,0.13679890560875513,99.86320109439124,0.0,8.891928864569083
341,2011-12-07,4,3,0.41,0.400246,0.970417,0.266175,705,-0.0558759273193431,36.79890560875513,36.388508891928865,99.72640218878249,83.85772913816689,97.12722298221614,1.094391244870041
249,2011-09-06,3,3,0.54,0.5152,0.886957,0.343943,2710,-0.05195911361884287,55.81395348837209,54.172366621067034,96.44322845417237,95.0752393980848,97.12722298221614,20.656634746922027
106,2011-04-16,2,3,0.430833,0.425492,0.888333,0.340808,795,-0.050038274385981074,40.355677154582764,39.945280437756495,96.71682626538988,94.11764705882352,97.12722298221614,1.3679890560875512
250,2011-09-07,3,3,0.599167,0.544229,0.917083,0.0970208,1996,-0.04913333043231638,64.70588235294117,61.14911080711354,98.35841313269493,9.30232558139535,97.12722298221614,13.269493844049249
251,2011-09-08,3,3,0.633913,0.555361,0.939565,0.192748,1842,-0.049084181161008766,70.4514363885089,63.748290013679885,99.17920656634746,57.045143638850895,97.12722298221614,11.354309165526676
22,2011-01-22,1,1,0.0591304,0.0790696,0.4,0.17197,981,-0.048839248023966,0.0,0.0,3.9671682626538987,45.4172366621067,0.0,2.0519835841313268
478,2012-04-22,2,3,0.396667,0.389504,0.835417,0.344546,1027,-0.04640124139488866,35.02051983584131,33.78932968536252,91.79206566347469,95.21203830369357,97.12722298221614,3.009575923392613
326,2011-11-22,4,3,0.416667,0.421696,0.9625,0.118792,1607,-0.04307280307781802,38.57729138166895,39.261285909712726,99.58960328317373,16.689466484268127,97.12722298221614,8.618331053351573
408,2012-02-12,1,1,0.1275,0.101658,0.464583,0.409212,1529,-0.039254206458718355,0.5471956224350205,0.27359781121751026,11.901504787961697,98.90560875512996,0.0,7.113543091655266
407,2012-02-11,1,3,0.224167,0.210867,0.73125,0.289796,2169,-0.038019299701712805,6.703146374829001,4.240766073871409,75.10259917920656,88.23529411764706,97.12722298221614,15.18467852257182
239,2011-08-27,3,2,0.68,0.635556,0.85,0.375617,1115,-0.03611459944774631,78.38577291381668,79.06976744186046,93.70725034199727,97.81121751025992,63.33789329685362,3.6935704514363885
9,2011-01-09,1,1,0.138333,0.116175,0.434167,0.36195,822,-0.0359714777719643,0.8207934336525308,0.4103967168262654,7.387140902872777,97.12722298221614,0.0,1.6415868673050615
320,2011-11-16,4,3,0.456667,0.451988,0.93,0.136829,1817,-0.03263915427825259,43.912448700410394,44.59644322845418,99.04240766073872,26.538987688098498,97.12722298221614,11.080711354309166
90,2011-03-31,2,3,0.268333,0.257575,0.918333,0.217646,1685,-0.030685517850600474,12.038303693570452,11.080711354309166,98.49521203830369,67.03146374829001,97.12722298221614,9.30232558139535
285,2011-10-12,4,3,0.543333,0.517717,0.90625,0.24815,2416,-0.03028648450139393,56.90834473324213,54.58276333789329,97.67441860465115,79.75376196990423,97.12722298221614,17.510259917920656
340,2011-12-06,4,3,0.4625,0.4564,0.949583,0.232583,2594,-0.02946885319255832,45.1436388508892,45.280437756497946,99.45280437756497,74.28180574555402,97.12722298221614,19.835841313269494
369,2012-01-04,1,2,0.1075,0.119337,0.414583,0.1847,2368,-0.027270824235203217,0.4103967168262654,0.6839945280437756,5.745554035567715,52.1203830369357,63.33789329685362,16.963064295485637
292,2011-10-19,4,3,0.541739,0.513848,0.895217,0.243339,2424,-0.02627844289544612,56.49794801641587,53.898768809849514,96.85362517099864,78.79616963064295,97.12722298221614,17.920656634746923
23,2011-01-23,1,1,0.0965217,0.0988391,0.436522,0.2466,986,-0.025705979081292463,0.13679890560875513,0.13679890560875513,7.7975376196990425,79.48016415868673,0.0,2.3255813953488373
641,2012-10-02,4,3,0.590833,0.542333,0.871667,0.104475,4639,-0.020736988032262427,63.47469220246238,60.32831737346102,95.0752393980848,11.49110807113543,97.12722298221614,52.53077975376197
325,2011-11-21,4,3,0.4475,0.445062,0.91,0.138054,2765,-0.02007617987616339,43.22845417236662,43.63885088919289,97.94801641586868,26.949384404924757,97.12722298221614,21.477428180574556
434,2012-03-09,1,2,0.410833,0.397083,0.407083,0.4148,4569,-0.014658660206094631,37.2093023255814,35.56771545827633,4.7879616963064295,99.04240766073872,63.33789329685362,50.47879616963065
65,2011-03-06,1,2,0.376522,0.366252,0.948261,0.343287,605,-0.013749805503549983,31.73734610123119,30.36935704514364,99.31600547195623,94.93844049247606,63.33789329685362,0.5471956224350205
568,2012-07-21,3,3,0.595833,0.549912,0.865417,0.2133,4459,-0.010829179205492978,64.29548563611492,62.243502051983576,94.66484268125855,65.5266757865937,97.12722298221614,48.15321477428181
368,2012-01-03,1,1,0.15,0.126275,0.44125,0.365671,2236,-0.009991751062351617,1.094391244870041,0.8207934336525308,8.755129958960328,97.40082079343365,0.0,16.00547195622435
202,2011-07-21,3,2,0.815,0.826371,0.69125,0.222021,3784,-0.009681705218629766,98.35841313269493,99.72640218878249,65.5266757865937,68.94664842681259,63.33789329685362,34.19972640218879
8,2011-01-08,1,2,0.165,0.162254,0.535833,0.266804,959,-0.006964017271471001,1.6415868673050615,2.0519835841313268,27.770177838577293,84.1313269493844,63.33789329685362,1.915184678522572
204,2011-07-23,3,1,0.849167,0.804287,0.5,0.131221,3285,-0.006703128608165687,99.72640218878249,99.45280437756497,19.972640218878247,22.70861833105335,0.0,26.67578659370725
45,2011-02-14,1,1,0.415,0.39835,0.375833,0.417908,1913,-0.005220732270235118,38.16689466484268,35.841313269493845,2.5991792065663475,99.31600547195623,0.0,12.038303693570452
40,2011-02-09,1,2,0.134783,0.144283,0.494783,0.188839,1605,-0.0028007656729611696,0.6839945280437756,0.957592339261286,18.87824897400821,54.58276333789329,63.33789329685362,8.344733242134064
203,2011-07-22,3,1,0.848333,0.840896,0.580417,0.1331,3387,-0.0001620584677491932,99.58960328317373,99.86320109439124,38.850889192886456,23.93980848153215,0.0,28.317373461012313
